2026-03-28 20:38:43, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-28 20:38:45, EXEC, v:1, k:ed@princesa, mode:FREE, size:10
2026-03-28 20:39:14, MOVE, v:1, k:ed@princesa, mode:BACK
2026-03-28 20:39:25, MOVE, v:1, k:ed@baruel, mode:PICK
2026-03-28 20:39:32, MOVE, v:1, k:ed@baruel, mode:BACK
2026-03-28 20:39:38, MOVE, v:1, k:ed@gomos, mode:PICK
2026-03-28 20:39:48, MOVE, v:1, k:ed@gomos, mode:BACK
2026-03-28 20:39:55, MOVE, v:1, k:ed@casais, mode:PICK
2026-03-28 20:39:57, MOVE, v:1, k:ed@casais, mode:BACK
2026-03-28 20:39:59, MOVE, v:1, k:ed@casais, mode:PICK
2026-03-28 20:40:05, MOVE, v:1, k:ed@casais, mode:BACK
2026-03-28 20:40:32, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-28 22:04:52, MOVE, v:1, k:ed@princesa, mode:BACK
2026-03-28 22:04:59, MOVE, v:1, k:ed@apagando, mode:PICK
2026-03-28 22:09:48, MOVE, v:1, k:ed@apagando, mode:BACK
2026-03-28 22:09:52, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-28 22:09:58, MOVE, v:1, k:ed@princesa, mode:BACK
2026-03-28 22:10:02, MOVE, v:1, k:ed@apagando, mode:PICK
