2026-05-05 13:56:01, MOVE, v:1, k:ed@lista_d3, mode:DOWN
2026-05-05 13:56:03, MOVE, v:1, k:ed@lista_d3, mode:PICK
2026-05-05 13:56:05, EXEC, v:1, k:ed@lista_d3, mode:FULL, rate:0, size:109
2026-05-05 13:56:17, MOVE, v:1, k:ed@lista_d3, mode:BACK
2026-05-05 13:56:22, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-05 13:56:23, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 13:56:01, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-05 13:56:01, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-05 13:56:01, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-05 13:56:05, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-05 13:56:22, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 13:56:22, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 13:56:22, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 13:56:22, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 13:56:22, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:00:55, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 14:02:03, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 14:02:25, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 14:01:53, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:01:53, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:02:25, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:09:51, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:11:29, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 14:11:07, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:11:29, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:20:13, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:25:39, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:25:50, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 14:25:51, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:27:31, MOVE, v:1, k:ed@editorint, mode:EDIT
